Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
Mahnaz Afkhami,https://en.wikipedia.org/wiki/Mahnaz_Afkhami,Q6734697,https://www.wikidata.org/wiki/Q6734697,female,human rights defender; politician,Iran,Kerman,1941-02-02T00:00:00Z
"Haleh Afshar, Baroness Afshar",https://en.wikipedia.org/wiki/Haleh_Afshar%2C_Baroness_Afshar,,,,,,,
Mastoureh Afshar,https://en.wikipedia.org/wiki/Mastoureh_Afshar,Q6401422,https://www.wikidata.org/wiki/Q6401422,female,journalist,Iran,Urmia,1898-01-01T00:00:00Z
Taraneh Alidoosti,https://en.wikipedia.org/wiki/Taraneh_Alidoosti,Q275637,https://www.wikidata.org/wiki/Q275637,female,actor; film actor; translator,Iran,Tehran,1984-01-12T00:00:00Z
Shadi Amin,https://en.wikipedia.org/wiki/Shadi_Amin,Q15410595,https://www.wikidata.org/wiki/Q15410595,female,human rights defender; journalist,Iran,Iran,1964-01-01T00:00:00Z
Shahnaz Azad,https://en.wikipedia.org/wiki/Shahnaz_Azad,Q5878160,https://www.wikidata.org/wiki/Q5878160,female,journalist,Iran,Tabriz,1901-01-01T00:00:00Z
Talat Basari,https://en.wikipedia.org/wiki/Talat_Basari,Q16052700,https://www.wikidata.org/wiki/Q16052700,female,poet; writer,Pahlavi dynasty; Qajar Iran; United States,Babol,1923-01-01T00:00:00Z
Golbarg Bashi,https://en.wikipedia.org/wiki/Golbarg_Bashi,Q16152158,https://www.wikidata.org/wiki/Q16152158,female,peace activist; writer,Iran,Ahvaz,2000-01-01T00:00:00Z
Mariam Behnam,https://en.wikipedia.org/wiki/Mariam_Behnam,Q5955405,https://www.wikidata.org/wiki/Q5955405,female,activist; writer,Iran,Bandar Lengeh,1921-02-25T00:00:00Z
Homa Darabi,https://en.wikipedia.org/wiki/Homa_Darabi,Q165488,https://www.wikidata.org/wiki/Q165488,female,psychiatrist; university teacher; women's rights activist,Iran,Tehran,1940-01-01T00:00:00Z
Ashraf Dehghani,https://en.wikipedia.org/wiki/Ashraf_Dehghani,Q463551,https://www.wikidata.org/wiki/Q463551,female,partisan; politician; rebel,Iran,Iran,1948-01-01T00:00:00Z
Shirin Ebadi,https://en.wikipedia.org/wiki/Shirin_Ebadi,Q131152,https://www.wikidata.org/wiki/Q131152,female,human rights defender; judge; jurist; lawyer; peace activist; politician; women's rights activist; writer,Iran,Hamadan,1947-06-21T00:00:00Z
Zahra Eshraghi,https://en.wikipedia.org/wiki/Zahra_Eshraghi,Q144181,https://www.wikidata.org/wiki/Q144181,female,blogger; human rights defender; politician; women's rights activist,Iran,Tehran,1964-01-01T00:00:00Z
Mohtaram Eskandari,https://en.wikipedia.org/wiki/Mohtaram_Eskandari,Q6894509,https://www.wikidata.org/wiki/Q6894509,female,journalist; writer,Iran,Tehran,1895-01-01T00:00:00Z
Farhad Mehrad,https://en.wikipedia.org/wiki/Farhad_Mehrad,Q3066855,https://www.wikidata.org/wiki/Q3066855,male,guitarist; pianist; singer; songwriter,Iran,Tehran,1944-01-19T00:00:00Z
Shabnam Farshadjoo,https://en.wikipedia.org/wiki/Shabnam_Farshadjoo,Q16047444,https://www.wikidata.org/wiki/Q16047444,female,actor,Iran,Tehran,1978-01-01T00:00:00Z
Fatemeh Haghighatjoo,https://en.wikipedia.org/wiki/Fatemeh_Haghighatjoo,Q5437443,https://www.wikidata.org/wiki/Q5437443,female,academic; human rights defender; politician; professor; psychologist,Iran,Tehran,1968-12-29T00:00:00Z
Bahareh Hedayat,https://en.wikipedia.org/wiki/Bahareh_Hedayat,Q4842451,https://www.wikidata.org/wiki/Q4842451,female,activist; human rights defender,Iran,Tehran,1981-04-05T00:00:00Z
Jason Jorjani,https://en.wikipedia.org/wiki/Jason_Jorjani,Q42212015,https://www.wikidata.org/wiki/Q42212015,male,academic; non-fiction writer; opinion journalist; philosopher; university teacher,United States,Manhattan,1981-02-21T00:00:00Z
Sems Kesmai,https://en.wikipedia.org/wiki/Sems_Kesmai,Q12849759,https://www.wikidata.org/wiki/Q12849759,female,poet; writer,Iran,Yazd,1883-01-01T00:00:00Z
