Name,Wikipedia_Link,wikidata_qid,wikidata_url
Mahnaz Afkhami,https://en.wikipedia.org/wiki/Mahnaz_Afkhami,Q6734697,https://www.wikidata.org/wiki/Q6734697
"Haleh Afshar, Baroness Afshar",https://en.wikipedia.org/wiki/Haleh_Afshar%2C_Baroness_Afshar,,
Mastoureh Afshar,https://en.wikipedia.org/wiki/Mastoureh_Afshar,Q6401422,https://www.wikidata.org/wiki/Q6401422
Taraneh Alidoosti,https://en.wikipedia.org/wiki/Taraneh_Alidoosti,Q275637,https://www.wikidata.org/wiki/Q275637
Shadi Amin,https://en.wikipedia.org/wiki/Shadi_Amin,Q15410595,https://www.wikidata.org/wiki/Q15410595
Shahnaz Azad,https://en.wikipedia.org/wiki/Shahnaz_Azad,Q5878160,https://www.wikidata.org/wiki/Q5878160
Talat Basari,https://en.wikipedia.org/wiki/Talat_Basari,Q16052700,https://www.wikidata.org/wiki/Q16052700
Golbarg Bashi,https://en.wikipedia.org/wiki/Golbarg_Bashi,Q16152158,https://www.wikidata.org/wiki/Q16152158
Mariam Behnam,https://en.wikipedia.org/wiki/Mariam_Behnam,Q5955405,https://www.wikidata.org/wiki/Q5955405
Homa Darabi,https://en.wikipedia.org/wiki/Homa_Darabi,Q165488,https://www.wikidata.org/wiki/Q165488
Ashraf Dehghani,https://en.wikipedia.org/wiki/Ashraf_Dehghani,Q463551,https://www.wikidata.org/wiki/Q463551
Shirin Ebadi,https://en.wikipedia.org/wiki/Shirin_Ebadi,Q131152,https://www.wikidata.org/wiki/Q131152
Zahra Eshraghi,https://en.wikipedia.org/wiki/Zahra_Eshraghi,Q144181,https://www.wikidata.org/wiki/Q144181
Mohtaram Eskandari,https://en.wikipedia.org/wiki/Mohtaram_Eskandari,Q6894509,https://www.wikidata.org/wiki/Q6894509
Farhad Mehrad,https://en.wikipedia.org/wiki/Farhad_Mehrad,Q3066855,https://www.wikidata.org/wiki/Q3066855
Shabnam Farshadjoo,https://en.wikipedia.org/wiki/Shabnam_Farshadjoo,Q16047444,https://www.wikidata.org/wiki/Q16047444
Fatemeh Haghighatjoo,https://en.wikipedia.org/wiki/Fatemeh_Haghighatjoo,Q5437443,https://www.wikidata.org/wiki/Q5437443
Bahareh Hedayat,https://en.wikipedia.org/wiki/Bahareh_Hedayat,Q4842451,https://www.wikidata.org/wiki/Q4842451
Jason Jorjani,https://en.wikipedia.org/wiki/Jason_Jorjani,Q42212015,https://www.wikidata.org/wiki/Q42212015
Sems Kesmai,https://en.wikipedia.org/wiki/Sems_Kesmai,Q12849759,https://www.wikidata.org/wiki/Q12849759
Azadeh Kian,https://en.wikipedia.org/wiki/Azadeh_Kian,Q28976192,https://www.wikidata.org/wiki/Q28976192
Farideh Mashini,https://en.wikipedia.org/wiki/Farideh_Mashini,Q5435290,https://www.wikidata.org/wiki/Q5435290
Valentine Moghadam,https://en.wikipedia.org/wiki/Valentine_Moghadam,Q275631,https://www.wikidata.org/wiki/Q275631
Shahindokht Molaverdi,https://en.wikipedia.org/wiki/Shahindokht_Molaverdi,Q15062987,https://www.wikidata.org/wiki/Q15062987
Maryam Namazie,https://en.wikipedia.org/wiki/Maryam_Namazie,Q464924,https://www.wikidata.org/wiki/Q464924
Armin Navabi,https://en.wikipedia.org/wiki/Armin_Navabi,Q43867020,https://www.wikidata.org/wiki/Q43867020
Shirin Neshat,https://en.wikipedia.org/wiki/Shirin_Neshat,Q262413,https://www.wikidata.org/wiki/Q262413
Farrokhroo Parsa,https://en.wikipedia.org/wiki/Farrokhroo_Parsa,Q2986892,https://www.wikidata.org/wiki/Q2986892
Roya Heshmati,https://en.wikipedia.org/wiki/Roya_Heshmati,Q124158219,https://www.wikidata.org/wiki/Q124158219
Mina Sadati,https://en.wikipedia.org/wiki/Mina_Sadati,Q5730765,https://www.wikidata.org/wiki/Q5730765
Zahra Saei,https://en.wikipedia.org/wiki/Zahra_Saei,Q23006343,https://www.wikidata.org/wiki/Q23006343
