Name,Wikipedia_Link,wikidata_qid,wikidata_url
Ardeshir Kazemi,https://en.wikipedia.org/wiki/Ardeshir_Kazemi,Q5922883,https://www.wikidata.org/wiki/Q5922883
Mirsaeed Molavian,https://en.wikipedia.org/wiki/Mirsaeed_Molavian,Q108885959,https://www.wikidata.org/wiki/Q108885959
Elika Abdolrazzaghi,https://en.wikipedia.org/wiki/Elika_Abdolrazzaghi,Q5946917,https://www.wikidata.org/wiki/Q5946917
Nasim Adabi,https://en.wikipedia.org/wiki/Nasim_Adabi,Q20109504,https://www.wikidata.org/wiki/Q20109504
Golab Adineh,https://en.wikipedia.org/wiki/Golab_Adineh,Q3109977,https://www.wikidata.org/wiki/Q3109977
Anahita Afshar,https://en.wikipedia.org/wiki/Anahita_Afshar,Q11689093,https://www.wikidata.org/wiki/Q11689093
Bahareh Kian Afshar,https://en.wikipedia.org/wiki/Bahareh_Kian_Afshar,Q13453217,https://www.wikidata.org/wiki/Q13453217
Mahnaz Afshar,https://en.wikipedia.org/wiki/Mahnaz_Afshar,Q3113907,https://www.wikidata.org/wiki/Q3113907
Roya Afshar,https://en.wikipedia.org/wiki/Roya_Afshar,Q16045418,https://www.wikidata.org/wiki/Q16045418
Bahareh Afshari,https://en.wikipedia.org/wiki/Bahareh_Afshari,Q5740014,https://www.wikidata.org/wiki/Q5740014
Shohreh Aghdashloo,https://en.wikipedia.org/wiki/Shohreh_Aghdashloo,Q229766,https://www.wikidata.org/wiki/Q229766
Pegah Ahangarani,https://en.wikipedia.org/wiki/Pegah_Ahangarani,Q2013524,https://www.wikidata.org/wiki/Q2013524
Nazanin Ahmadi,https://en.wikipedia.org/wiki/Nazanin_Ahmadi,Q84849960,https://www.wikidata.org/wiki/Q84849960
Pardis Ahmadieh,https://en.wikipedia.org/wiki/Pardis_Ahmadieh,Q42533858,https://www.wikidata.org/wiki/Q42533858
Mania Akbari,https://en.wikipedia.org/wiki/Mania_Akbari,Q6749430,https://www.wikidata.org/wiki/Q6749430
Taraneh Alidoosti,https://en.wikipedia.org/wiki/Taraneh_Alidoosti,Q275637,https://www.wikidata.org/wiki/Q275637
Mahoor Alvand,https://en.wikipedia.org/wiki/Mahoor_Alvand,Q37513016,https://www.wikidata.org/wiki/Q37513016
Maryam Amir Jalali,https://en.wikipedia.org/wiki/Maryam_Amir_Jalali,Q10858379,https://www.wikidata.org/wiki/Q10858379
Mary Apick,https://en.wikipedia.org/wiki/Mary_Apick,Q542469,https://www.wikidata.org/wiki/Q542469
Aram (actress),https://en.wikipedia.org/wiki/Aram_%28actress%29,,
Afsar Asadi,https://en.wikipedia.org/wiki/Afsar_Asadi,Q5922679,https://www.wikidata.org/wiki/Q5922679
Khatereh Asadi,https://en.wikipedia.org/wiki/Khatereh_Asadi,Q5929390,https://www.wikidata.org/wiki/Q5929390
Vishka Asayesh,https://en.wikipedia.org/wiki/Vishka_Asayesh,Q5951102,https://www.wikidata.org/wiki/Q5951102
Rana Azadivar,https://en.wikipedia.org/wiki/Rana_Azadivar,Q10325571,https://www.wikidata.org/wiki/Q10325571
Asal Badiee,https://en.wikipedia.org/wiki/Asal_Badiee,Q5939820,https://www.wikidata.org/wiki/Q5939820
Pantea Bahram,https://en.wikipedia.org/wiki/Pantea_Bahram,Q3362461,https://www.wikidata.org/wiki/Q3362461
Sara Bahrami,https://en.wikipedia.org/wiki/Sara_Bahrami,Q27063217,https://www.wikidata.org/wiki/Q27063217
Pouri Banayi,https://en.wikipedia.org/wiki/Pouri_Banayi,Q5953109,https://www.wikidata.org/wiki/Q5953109
Maral Baniadam,https://en.wikipedia.org/wiki/Maral_Baniadam,Q115590147,https://www.wikidata.org/wiki/Q115590147
Mozhgan Bayat,https://en.wikipedia.org/wiki/Mozhgan_Bayat,Q11804151,https://www.wikidata.org/wiki/Q11804151
Sareh Bayat,https://en.wikipedia.org/wiki/Sareh_Bayat,Q6410380,https://www.wikidata.org/wiki/Q6410380
Nazanin Bayati,https://en.wikipedia.org/wiki/Nazanin_Bayati,Q16051628,https://www.wikidata.org/wiki/Q16051628
Afsaneh Bayegan,https://en.wikipedia.org/wiki/Afsaneh_Bayegan,Q2826285,https://www.wikidata.org/wiki/Q2826285
Behnoosh Bakhtiari,https://en.wikipedia.org/wiki/Behnoosh_Bakhtiari,Q2893916,https://www.wikidata.org/wiki/Q2893916
Soudabeh Beizaee,https://en.wikipedia.org/wiki/Soudabeh_Beizaee,Q16051390,https://www.wikidata.org/wiki/Q16051390
Shirin Bina,https://en.wikipedia.org/wiki/Shirin_Bina,Q5948944,https://www.wikidata.org/wiki/Q5948944
Leila Bolukat,https://en.wikipedia.org/wiki/Leila_Bolukat,Q12237880,https://www.wikidata.org/wiki/Q12237880
Marzieh Boroumand,https://en.wikipedia.org/wiki/Marzieh_Boroumand,Q5947066,https://www.wikidata.org/wiki/Q5947066
Ziba Borufeh,https://en.wikipedia.org/wiki/Ziba_Borufeh,Q5913670,https://www.wikidata.org/wiki/Q5913670
Anahita Dargahi,https://en.wikipedia.org/wiki/Anahita_Dargahi,Q62020537,https://www.wikidata.org/wiki/Q62020537
Boshra Dastournezhad,https://en.wikipedia.org/wiki/Boshra_Dastournezhad,Q24852290,https://www.wikidata.org/wiki/Q24852290
Shaghayegh Dehghan,https://en.wikipedia.org/wiki/Shaghayegh_Dehghan,Q3481198,https://www.wikidata.org/wiki/Q3481198
Gitty Djamal,https://en.wikipedia.org/wiki/Gitty_Djamal,Q1527837,https://www.wikidata.org/wiki/Q1527837
Sahar Dolatshahi,https://en.wikipedia.org/wiki/Sahar_Dolatshahi,Q5943512,https://www.wikidata.org/wiki/Q5943512
Zar Amir Ebrahimi,https://en.wikipedia.org/wiki/Zar_Amir_Ebrahimi,Q464616,https://www.wikidata.org/wiki/Q464616
Bita Elahian,https://en.wikipedia.org/wiki/Bita_Elahian,Q92648038,https://www.wikidata.org/wiki/Q92648038
Soraya Esfandiary-Bakhtiary,https://en.wikipedia.org/wiki/Soraya_Esfandiary-Bakhtiary,Q225993,https://www.wikidata.org/wiki/Q225993
Setareh Eskandari,https://en.wikipedia.org/wiki/Setareh_Eskandari,Q7456359,https://www.wikidata.org/wiki/Q7456359
Ateneh Faghih Nasiri,https://en.wikipedia.org/wiki/Ateneh_Faghih_Nasiri,Q5951700,https://www.wikidata.org/wiki/Q5951700
Golshifteh Farahani,https://en.wikipedia.org/wiki/Golshifteh_Farahani,Q464712,https://www.wikidata.org/wiki/Q464712
Shaghayegh Farahani,https://en.wikipedia.org/wiki/Shaghayegh_Farahani,Q7461184,https://www.wikidata.org/wiki/Q7461184
Sarina Farhadi,https://en.wikipedia.org/wiki/Sarina_Farhadi,Q5938159,https://www.wikidata.org/wiki/Q5938159
Lily Farhadpour,https://en.wikipedia.org/wiki/Lily_Farhadpour,Q25425774,https://www.wikidata.org/wiki/Q25425774
Fariba Naderi,https://en.wikipedia.org/wiki/Fariba_Naderi,Q25423997,https://www.wikidata.org/wiki/Q25423997
Farimah Farjami,https://en.wikipedia.org/wiki/Farimah_Farjami,Q5435309,https://www.wikidata.org/wiki/Q5435309
Bita Farrahi,https://en.wikipedia.org/wiki/Bita_Farrahi,Q2904869,https://www.wikidata.org/wiki/Q2904869
Shabnam Farshadjoo,https://en.wikipedia.org/wiki/Shabnam_Farshadjoo,Q16047444,https://www.wikidata.org/wiki/Q16047444
Shamsi Fazlollahi,https://en.wikipedia.org/wiki/Shamsi_Fazlollahi,Q5944587,https://www.wikidata.org/wiki/Q5944587
Pegah Ferydoni,https://en.wikipedia.org/wiki/Pegah_Ferydoni,Q97194,https://www.wikidata.org/wiki/Q97194
Elsa Firouz Azar,https://en.wikipedia.org/wiki/Elsa_Firouz_Azar,Q5939503,https://www.wikidata.org/wiki/Q5939503
Hadis Fooladvand,https://en.wikipedia.org/wiki/Hadis_Fooladvand,Q3211023,https://www.wikidata.org/wiki/Q3211023
Leila Forouhar,https://en.wikipedia.org/wiki/Leila_Forouhar,Q3099883,https://www.wikidata.org/wiki/Q3099883
Forouzan,https://en.wikipedia.org/wiki/Forouzan,Q6405235,https://www.wikidata.org/wiki/Q6405235
Negar Foroozandeh,https://en.wikipedia.org/wiki/Negar_Foroozandeh,Q5941787,https://www.wikidata.org/wiki/Q5941787
Behafarid Ghafarian,https://en.wikipedia.org/wiki/Behafarid_Ghafarian,Q65196913,https://www.wikidata.org/wiki/Q65196913
Vida Ghahremani,https://en.wikipedia.org/wiki/Vida_Ghahremani,Q6607382,https://www.wikidata.org/wiki/Q6607382
Neda Ghasemi,https://en.wikipedia.org/wiki/Neda_Ghasemi,Q106313594,https://www.wikidata.org/wiki/Q106313594
Hengameh Ghaziani,https://en.wikipedia.org/wiki/Hengameh_Ghaziani,Q5948359,https://www.wikidata.org/wiki/Q5948359
Sahar Ghoreishi,https://en.wikipedia.org/wiki/Sahar_Ghoreishi,Q5937050,https://www.wikidata.org/wiki/Q5937050
Marjaneh Golchin,https://en.wikipedia.org/wiki/Marjaneh_Golchin,Q5938113,https://www.wikidata.org/wiki/Q5938113
Poopak Goldarreh,https://en.wikipedia.org/wiki/Poopak_Goldarreh,Q7228748,https://www.wikidata.org/wiki/Q7228748
Parastoo Golestani,https://en.wikipedia.org/wiki/Parastoo_Golestani,Q3363682,https://www.wikidata.org/wiki/Q3363682
Googoosh,https://en.wikipedia.org/wiki/Googoosh,Q255233,https://www.wikidata.org/wiki/Q255233
Elnaz Habibi,https://en.wikipedia.org/wiki/Elnaz_Habibi,Q6534122,https://www.wikidata.org/wiki/Q6534122
Azita Hajian,https://en.wikipedia.org/wiki/Azita_Hajian,Q2875146,https://www.wikidata.org/wiki/Q2875146
Pooneh Hajimohammadi,https://en.wikipedia.org/wiki/Pooneh_Hajimohammadi,Q15430747,https://www.wikidata.org/wiki/Q15430747
Mitra Hajjar,https://en.wikipedia.org/wiki/Mitra_Hajjar,Q3317144,https://www.wikidata.org/wiki/Q3317144
Elham Hamidi,https://en.wikipedia.org/wiki/Elham_Hamidi,Q5360118,https://www.wikidata.org/wiki/Q5360118
